sample,uptime_sec,status,cpu_percent,cpu_user,cpu_system,rss_mb,vms_mb,shared_mb,data_mb,text_mb,read_count,write_count,read_bytes,write_bytes,read_chars,write_chars,ctx_voluntary,ctx_involuntary,open_files,fds,threads,cpu_affinity
43,630283.8258771896,running,0.0,3089.165713408,1874.665668608,923.46875,439218.71875,,,,0.0,0.0,0.0,0.0,,,76119271.0,0.0,71.0,151.0,94.0,
44,630284.8263981342,running,0.0,3089.184063488,1874.669207552,923.46875,439218.71875,,,,0.0,0.0,0.0,0.0,,,76119386.0,0.0,71.0,151.0,94.0,
45,630285.8312170506,running,0.0,3089.211850752,1874.672091136,923.46875,439218.71875,,,,0.0,0.0,0.0,0.0,,,76119499.0,0.0,71.0,151.0,94.0,
46,630286.8265769482,running,0.0,3089.28315392,1874.676416512,923.46875,439218.71875,,,,0.0,0.0,0.0,0.0,,,76119772.0,0.0,71.0,151.0,94.0,
47,630287.8273479939,running,0.0,3089.286299648,1874.678775808,923.46875,439218.71875,,,,0.0,0.0,0.0,0.0,,,76119881.0,0.0,71.0,151.0,94.0,
48,630288.8322870731,running,0.0,3089.289969664,1874.681790464,923.46875,439218.71875,,,,0.0,0.0,0.0,0.0,,,76120052.0,0.0,69.0,149.0,94.0,
49,630289.8276231289,running,0.0,3089.293115392,1874.684018688,923.46875,439218.71875,,,,0.0,0.0,0.0,0.0,,,76120165.0,0.0,69.0,149.0,94.0,
50,630290.8263731003,running,0.0,3089.29626112,1874.686377984,923.46875,439218.71875,,,,0.0,0.0,0.0,0.0,,,76120292.0,0.0,69.0,149.0,94.0,
51,630291.828125,running,0.0,3089.298358272,1874.687688704,923.46875,439218.71875,,,,0.0,0.0,0.0,0.0,,,76120377.0,0.0,69.0,149.0,94.0,
52,630292.8253211975,running,0.0,3089.300979712,1874.689785856,923.46875,439218.71875,,,,0.0,0.0,0.0,0.0,,,76120501.0,0.0,69.0,149.0,94.0,
53,630293.8252072334,running,0.0,3089.303601152,1874.691883008,923.46875,439218.71875,,,,0.0,0.0,0.0,0.0,,,76120624.0,0.0,69.0,149.0,94.0,
54,630294.8252849579,running,0.0,3089.306484736,1874.69594624,923.46875,439218.71875,,,,0.0,0.0,0.0,0.0,,,76120736.0,0.0,69.0,149.0,94.0,
55,630295.8246660233,running,0.0,3089.308844032,1874.697650176,923.453125,439218.421875,,,,0.0,0.0,0.0,0.0,,,76120832.0,0.0,69.0,149.0,93.0,
56,630296.8267669678,running,0.0,3089.311203328,1874.700140544,923.453125,439218.421875,,,,0.0,0.0,0.0,0.0,,,76120972.0,0.0,69.0,149.0,93.0,
57,630297.8360919952,running,0.0,3089.3146112,1874.70249984,923.4375,439218.125,,,,0.0,0.0,0.0,0.0,,,76121100.0,0.0,69.0,149.0,92.0,
58,630298.8266830444,running,0.0,3089.316970496,1874.70446592,923.4375,439218.125,,,,0.0,0.0,0.0,0.0,,,76121221.0,0.0,69.0,149.0,92.0,
59,630299.8266289234,running,0.0,3089.320902656,1874.710888448,923.4375,439218.125,,,,0.0,0.0,0.0,0.0,,,76121349.0,0.0,69.0,149.0,92.0,
60,630300.830575943,running,0.0,3089.325359104,1874.715082752,923.4375,439218.125,,,,0.0,0.0,0.0,0.0,,,76121593.0,0.0,69.0,149.0,92.0,
avg,630271.327003626,,0.0,3088.9709098325334,1874.5159385088,925.5630208333333,439221.37395833334,,,,0.0,0.0,0.0,0.0,,,76117259.45,0.0,70.25,151.65,93.66666666666667,
